url,name,academy
https://jwc.njnu.edu.cn/rcpy/pyfa/xlxy/yyxlx_sf_.htm,应用心理学（师范）,心理学院
https://jwc.njnu.edu.cn/rcpy/pyfa/jsjydzxxxy/dzxxgc.htm,电子信息工程,计算机与电子信息学院
https://jwc.njnu.edu.cn/rcpy/pyfa/jsjydzxxxy/rjgc.htm,软件工程,计算机与电子信息学院
https://jwc.njnu.edu.cn/rcpy/pyfa/jsjydzxxxy/rgzn.htm,人工智能,计算机与电子信息学院
https://jwc.njnu.edu.cn/rcpy/pyfa/jsjydzxxxy/jsjkxyjs.htm,计算机科学与技术,计算机与电子信息学院
https://jwc.njnu.edu.cn/rcpy/pyfa/nyyjxgcxy/nyydlgc.htm,能源与动力工程,能源与机械工程学院
https://jwc.njnu.edu.cn/rcpy/pyfa/nyyjxgcxy/nyyhjxtgc.htm,能源与环境系统工程,能源与机械工程学院
https://jwc.njnu.edu.cn/rcpy/pyfa/dqyzdhgcxy/zdh.htm,自动化,电气与自动化工程学院
https://jwc.njnu.edu.cn/rcpy/pyfa/dqyzdhgcxy/dqgcjqzdh.htm,电气工程及其自动化,电气与自动化工程学院
https://jwc.njnu.edu.cn/rcpy/pyfa/gjwhjyxy/hygjjy.htm,汉语国际教育,国际文化教育学院
https://jwc.njnu.edu.cn/rcpy/pyfa/gjwhjyxy/hygjjy_sf_.htm,汉语国际教育（师范）,国际文化教育学院
https://jwc.njnu.edu.cn/rcpy/pyfa/mkszyxy/sxzzjy.htm,思想政治教育,马克思主义学院
https://jwc.njnu.edu.cn/rcpy/pyfa/mkszyxy/sxzzjy_sf_.htm,思想政治教育（师范）,马克思主义学院
https://jwc.njnu.edu.cn/rcpy/pyfa/mkszyxy/mkszyll.htm,马克思主义理论,马克思主义学院
https://jwc.njnu.edu.cn/rcpy/pyfa/hjxy/hjkx.htm,环境科学,环境学院
https://jwc.njnu.edu.cn/rcpy/pyfa/hjxy/hjgc.htm,环境工程,环境学院
https://jwc.njnu.edu.cn/rcpy/pyfa/hykxygcxy/hyzyyhj.htm,海洋资源与环境,海洋科学与工程学院
https://jwc.njnu.edu.cn/rcpy/pyfa/spyzygcxy/spkxygc.htm,食品科学与工程,食品与制药工程学院
https://jwc.njnu.edu.cn/rcpy/pyfa/spyzygcxy/swgc.htm,生物工程,食品与制药工程学院
https://jwc.njnu.edu.cn/rcpy/pyfa/spyzygcxy/hcswx.htm,合成生物学,食品与制药工程学院
https://jwc.njnu.edu.cn/rcpy/pyfa/qhpyxy/qhpyxy.htm,强化培养学院,强化培养学院
https://jwc.njnu.edu.cn/rcpy/pyfa/qhpyxy/cspsyb.htm,陈述彭实验班,强化培养学院
https://jwc.njnu.edu.cn/rcpy/pyfa/qhpyxy/wmysyb.htm,吴懋仪实验班,强化培养学院
